algoritmo,tipo_caso,n,tiempo_medio,tiempo_mediana,tiempo_std,tiempo_min,tiempo_max,operaciones_moda,memoria_media
prog_dinamica,peor,9,0.0008659800005261399,0.0008310999983223,8.432542291263487e-05,0.0008230000021285,0.0010167000000365,3024,132.5859375
prog_dinamica,peor,10,0.0031235600006766203,0.0032741999966674,0.000737466746338299,0.0023431000008713,0.0038232000006246,10080,286.341015625
prog_dinamica,peor,11,0.00534433999710014,0.0050474000017857,0.001047714815684801,0.0046243999968282,0.007190599993919,18480,608.3357421875
prog_dinamica,peor,12,0.01303746000194218,0.0130625999954645,0.00041701672361593874,0.0124436000041896,0.0135931000040727,55440,1277.21875
prog_dinamica,peor,13,0.03468827999895434,0.036989000000176,0.005587087746048845,0.0270903999989968,0.0410025000019231,102960,2687.9953125
prog_dinamica,peor,14,0.12101509999920376,0.0937305999977979,0.04984403316158974,0.0772326000005705,0.1871613999974215,288288,5639.865625
prog_dinamica,peor,15,0.19699927999899952,0.1759899000026052,0.08570824623492912,0.1294381999978213,0.3399412999933702,540540,11802.7109375
prog_dinamica,peor,16,0.37229103999998187,0.3947426000013365,0.05203555361237377,0.3147347999984049,0.4332132999988971,1441440,24648.396875
prog_dinamica,peor,17,1.2521381400016254,0.7513488000040525,1.0973627738813208,0.7495542000033311,3.2148576000035973,2722720,51378.2859375
prog_dinamica,peor,18,1.871592919997056,1.8425512999965576,0.14000177587922966,1.7447020999970846,2.1020874999958323,7001280,106915.61875
prog_dinamica,peor,19,3.872116419998929,3.86372190000111,0.16740099915232137,3.6547789000032935,4.05406789999688,13302432,222148.20625
prog_dinamica,promedio,4,0.0001448399998480282,2.0799998310394585e-05,0.0002794371885831199,1.750000228639692e-05,0.0006446999977924,12,1.625
prog_dinamica,promedio,5,6.859999848527922e-05,4.799999442184344e-05,4.822198542354545e-05,2.6699999580159783e-05,0.0001294999965466,12,3.390625
prog_dinamica,promedio,6,0.00041135999927061317,0.0001204000000143,0.0006816152220696324,7.280000136233866e-05,0.0016296999965561,48,10.3046875
prog_dinamica,promedio,7,0.0002374000003328,0.0002384999970672,5.860797726511402e-05,0.0001811999973142,0.0003219999998691,378,26.3203125
prog_dinamica,promedio,8,0.00057320000050818,0.000534200000402,0.0001640000753296832,0.0004316000049584,0.0008514000001014,1250,60.5078125
prog_dinamica,promedio,9,0.0011523199980728802,0.0009982000046875,0.0005304895219955483,0.0007935999965411,0.0020867999992333,1984,132.5859375
prog_dinamica,promedio,10,0.0034074600000167004,0.0031154000025708,0.0009354320341394458,0.0024661999996169,0.004845600000408,9143,286.5060546875
prog_dinamica,promedio,11,0.00953395999968046,0.0089071000038529,0.002712797353532113,0.0059290999997756,0.0122555999987525,19488,608.5732421875
prog_dinamica,promedio,12,0.01836497999902342,0.01775450000423,0.0036940054933538025,0.0130576999945333,0.0223842999985208,32119,1277.2421875
prog_dinamica,promedio,13,0.06904814000008622,0.0712248999989242,0.01319374040390283,0.0546476000017719,0.0853093000041553,179870,2688.0078125
prog_dinamica,promedio,14,0.1360963799990713,0.1025981999991927,0.06481832599114863,0.081402199997683,0.2142922999992151,340935,5639.7890625
prog_dinamica,promedio,15,0.30823254000133604,0.2975203000023612,0.05473568296315274,0.2579511000003549,0.3888373000008869,1208421,11802.9640625
prog_dinamica,promedio,16,0.7488854200011701,0.735447800005204,0.1355021860816414,0.5947693999987678,0.9500388000014937,2444443,24649.0078125
prog_dinamica,promedio,17,1.7513795599967126,1.7331060999931651,0.3098893362195091,1.4967975999970804,2.261679199997161,6827842,51378.6890625
prog_dinamica,promedio,18,3.8458013199997367,3.881700599995384,0.6677417362373528,2.8714025000008405,4.660864199999196,13396931,106915.8765625
rubin,mejor,4,2.15000007301569e-05,2.1400002879090607e-05,7.382430784203077e-07,2.0699997548945248e-05,2.2400003217626363e-05,63,2.3828125
rubin,mejor,5,3.0139999580569565e-05,2.9800001357216388e-05,1.1653317974970903e-06,2.8800001018680632e-05,3.149999974993989e-05,128,3.625
rubin,mejor,6,5.5519999295926574e-05,4.099999932805076e-05,3.372554038721207e-05,3.879999712808058e-05,0.0001158000013674,225,3.8046875
rubin,mejor,7,5.317999894032255e-05,5.300000339047983e-05,1.2336940705120122e-06,5.1399998483248055e-05,5.439999949885532e-05,360,3.9453125
